obd,site_name,treat_name,time,fold01,fold02,fold03
7283.7983,Xilingol,Xilingol_HG,2014,1,1,0
6765.3347,Xilingol,Xilingol_HG,2016,1,1,0
6947.3172,Xilingol,Xilingol_HG,2018,1,1,0
7339.9833,Xilingol,Xilingol_LG,2014,1,1,0
6941.8057,Xilingol,Xilingol_LG,2016,1,1,0
6977.9678,Xilingol,Xilingol_LG,2018,1,1,0
7182.3187,Xilingol,Xilingol_MG,2014,1,1,0
6350.2614,Xilingol,Xilingol_MG,2016,1,1,0
6153.5831,Xilingol,Xilingol_MG,2018,1,1,0
7377.4917,Xilingol,Xilingol_NG,2014,1,1,0
6828.2215,Xilingol,Xilingol_NG,2016,1,1,0
7656.5695,Xilingol,Xilingol_NG,2018,1,1,0
